--- Solution of Y=AX: 
 X877 = -14.181 
 X878 =   6.702 
 X879 =   2.402 
 X880 =  -3.518 
 X881 =  14.808 
 X882 =   1.771 
 X883 = -19.519 
 X884 = -16.230 
 X885 =  -6.257 
 X886 = -12.704 
 X887 =  -3.085 
 X888 =  -5.644 
 X889 =  -6.745 
 X890 =  -7.046 
 X891 =  -1.675 
 X892 =   3.767 
 X893 =  11.693 
 X894 =  12.055 
 X895 =  -5.346 
 X896 =   1.675 
 X897 =  -5.343 
 X898 =  -1.990 
 X899 =  -0.836 
 X900 =   2.742 
 X901 =  19.888 
 X902 =  -5.370 
 X903 = -15.845 
 X904 =   3.778 
 X905 =   2.869 
 X906 =   8.529 
 X907 = -15.981 
 X908 =   4.009 
 X909 =  -9.679 
 X910 =  -0.125 
 X911 = -13.205 
 X912 = -19.959 
 X913 =   3.138 
 X914 =   1.007 
 X915 =  12.541 
 X916 =  -4.001 
 X917 =  -9.190 
 X918 =   8.059 
 X919 =  -5.724 
 X920 =  21.725 
 X921 =  -1.856 
 X922 =   5.057 
 X923 =   4.076 
 X924 =  -7.633 
 X925 =  -6.407 
 X926 =   7.990 
 X927 =   2.580 
 X928 =  -1.249 
 X929 =  -4.185 
 X930 =  -6.260 
 X931 =   5.402 
 X932 =  -0.496 
 X933 =   0.972 
 X934 =  14.633 
 X935 =  -7.109 
 X936 = -14.808 
 X937 =  -2.470 
 X938 = -10.331 
 X939 =  14.258 
 X940 = -13.388 
 X941 =  -8.897 
 X942 =   1.500 
 X943 = -13.241 
 X944 =  14.409 
 X945 =   5.807 
 X946 =   4.476 
 X947 =  19.505 
 X948 =   2.745 
 X949 =   2.260 
 X950 =  10.421 
 X951 =   1.108 
 X952 =  -2.491 
 X953 =  -6.041 
 X954 =   3.831 
 X955 =   4.750 
 X956 =  -7.618 
 X957 =  11.713 
 X958 =  -3.210 
 X959 =   7.510 
 X960 =  10.428 
 X961 =   8.783 
 X962 =  -1.072 
 X963 =  29.421 
 X964 =  -2.531 
 X965 =   1.607 
 X966 =  -5.044 
 X967 =  -4.276 
 X968 = -16.484 
 X969 =  -9.734 
 X970 =   4.488 
 X971 = -12.002 
 X972 =   0.797 
 X973 =  14.017 
 X974 =   3.704 
 X975 = -10.411 
 X976 =   6.242 
 X977 = -17.928 
 X978 =   8.727 
 X979 =   8.935 
 X980 =  -1.659 
 X981 =  15.145 
 X982 =  -0.982 
 X983 =   0.668 
 X984 =   8.252 
 X985 =  -5.373 
 X986 =   0.303 
 X987 =  -1.269 
 X988 = -13.132 
 X989 =  -5.248 
 X990 =  -3.096 
 X991 =  12.274 
 X992 =   8.292 
 X993 =   7.237 
 X994 =   2.667 
 X995 =  -5.170 
 X996 =   3.856 
 X997 =  -6.095 
 X998 =   9.361 
 X999 = -17.839 
 X1000 =  10.708 
 X1001 =   4.292 
 X1002 =  -4.649 
 X1003 =   0.623 
 X1004 =   1.248 
 X1005 = -10.753 
 X1006 =   7.313 
 X1007 =   7.434 
 X1008 =  17.662 
 X1009 =  22.613 
 X1010 =  -3.993 
 X1011 =   4.331 
 X1012 =  10.764 
 X1013 =   6.417 
 X1014 =   2.054 
 X1015 =  -1.038 
 X1016 =  15.487 
 X1017 =   1.630 
 X1018 =   6.839 
 X1019 =  -5.554 
 X1020 =  -6.275 
 X1021 =   8.277 
 X1022 =  24.037 
 X1023 =  -2.495 
 X1024 =  -3.252 
 X1025 =   2.690 
 X1026 =   7.057 
 X1027 =  -1.646 
 X1028 = -15.318 
 X1029 =   2.395 
 X1030 =  -2.861 
 X1031 = -13.480 
 X1032 =  -6.172 
 X1033 =   9.369 
 X1034 =  -8.495 
 X1035 =  12.171 
 X1036 = -12.441 
 X1037 = -15.956 
 X1038 =  -8.542 
 X1039 =  10.852 
 X1040 =   4.005 
 X1041 =   8.449 
 X1042 =  -4.057 
 X1043 =  -8.514 
 X1044 =  -6.441 
 X1045 =  -5.776 
 X1046 = -12.817 
 X1047 =  -4.018 
 X1048 =   9.772 
 X1049 =  -8.211 
 X1050 =   7.014 
 X1051 =   4.348 
 X1052 = -10.211 
 X1053 =  -9.353 
 X1054 =   6.523 
 X1055 =  -9.651 
 X1056 =   8.247 
 X1057 = -12.299 
 X1058 =   0.341 
 X1059 = -11.456 
 X1060 = -15.026 
 X1061 =  -0.560 
 X1062 =  -9.473 
 X1063 =  -6.318 
 X1064 =  -6.745 
 X1065 =   9.336 
 X1066 =  -0.165 
 X1067 =   8.539 
 X1068 =  -6.677 
 X1069 =   9.754 
 X1070 =   0.691 
 X1071 =  13.641 
 X1072 =   5.388 
 X1073 =   9.417 
 X1074 =  -1.332 
 X1075 =  -8.124 
 X1076 =  -1.376 
 X1077 =  -2.909 
 X1078 =  -3.286 
 X1079 =  -2.467 
 X1080 =   5.545 
 X1081 =  -8.509 
 X1082 =  -6.193 
 X1083 =   0.190 
 X1084 = -17.446 
 X1085 =   7.617 
 X1086 =  -2.452 
 X1087 =  -0.748 
 X1088 =   4.718 
 X1089 =   3.878 
 X1090 =  -3.002 
 X1091 =   3.075 
 X1092 =   0.864 
 X1093 = -26.835 
 X1094 =  -0.071 
 X1095 =   1.404 
 X1096 =  13.272 
 X1097 =   8.927 
 X1098 =   9.531 
 X1099 =  13.401 
 X1100 =   4.521 
 X1101 =  11.564 
 X1102 =   5.309 
 X1103 =  -7.155 
 X1104 =   4.999 
 X1105 =  -4.912 
 X1106 =   6.283 
 X1107 =  -5.531 
 X1108 =   0.609 
 X1109 =  12.418 
 X1110 =   5.685 
 X1111 =  11.924 
 X1112 =  24.526 
 X1113 =  -2.731 
 X1114 =  17.027 
 X1115 =  15.716 
 X1116 = -11.377 
 X1117 =  -1.016 
 X1118 =  -6.916 
 X1119 =   6.732 
 X1120 =  -0.779 
 X1121 =  -5.539 
 X1122 =   0.174 
 X1123 =   6.633 
 X1124 = -18.777 
 X1125 = -13.734 
 X1126 =   5.154 
 X1127 =   7.885 
 X1128 =   1.933 
 X1129 =   1.900 
 X1130 = -14.649 
 X1131 =   7.930 
 X1132 =  11.250 
 X1133 =  10.450 
 X1134 =   7.443 
 X1135 =   7.476 
 X1136 =  -8.754 
 X1137 =  -1.150 
 X1138 =  -3.396 
 X1139 =  -7.356 
 X1140 =  -7.210 
 X1141 =   1.054 
 X1142 =   8.798 
 X1143 =   1.691 
 X1144 =   2.068 
 X1145 = -24.351 
 X1146 =  -4.889 
 X1147 =  12.303 
 X1148 = -10.884 
 X1149 = -18.175 
 X1150 =   0.910 
 X1151 =  -1.676 
 X1152 =  -6.711 
 X1153 = -18.634 
 X1154 = -10.811 
 X1155 =  11.392 
 X1156 =  -3.176 
 X1157 =  -1.479 
 X1158 =   0.165 
 X1159 =   0.795 
 X1160 =  -6.454 
 X1161 =  12.898 
 X1162 =  -0.905 
 X1163 = -19.653 
 X1164 =  12.100 
 X1165 =  -4.576 
 X1166 =  18.484 
 X1167 =  -3.866 
 X1168 =   7.821 
 X1169 =   9.803 
 X1170 =   6.202 
 X1171 =  -3.539 
 X1172 =  -7.720 
 X1173 = -16.860 
 X1174 =  -4.049 
